conn_pin,carrier_symbol,carrier_net,soc_pin_name
194,GBE_LED_ACT,GBE_LED_ACT,−
195,I2S0_DIN,I2S0_SDIN,GP124
196,GBE_MDI2_N,GBE_MDI2_N,−
197,I2S0_FS,I2S0_LRCK,GP125
198,GBE_MDI2_P,GBE_MDI2_P,−
199,I2S0_SCLK,I2S0_SCLK,GP122
200,GND,GND,−
201,GND,GND,−
202,GBE_MDI3_N,GBE_MDI3_N,−
203,UART1_TXD,UART1_TXD,GP70_UART1_TXD_BOOT2_STRAP
204,GBE_MDI3_P,GBE_MDI3_P,−
205,UART1_RXD,UART1_RXD,GP71_UART1_RXD
206,GPIO07 (PWM),GPIO07,GP113_PWM7
207,UART1_RTS*,UART1_RTS*,GP72_UART1_RTS_N
208,GPIO08,FAN_TACH,GP62
209,UART1_CTS*,UART1_CTS*,GP73_UART1_CTS_N
210,CLK_32K_OUT,SUSCLK_32KHZ,SF_CLK32K
211,GPIO09 (AUD_MCLK),GPIO09,GP167
212,GPIO10,M2_ALERT*,GP02
213,CAM_I2C_SCL,CAM_I2C_SCL,GP54_I2C3_CLK
214,FORCE_RECOVERY*,FORCE_RECOVERY*,GP107_RECOVERY0_STRAP
215,CAM_I2C_SDA,CAM_I2C_SDA,GP55_I2C3_DAT
216,GPIO11 (CLK),GPIO11,GP66
217,MODULE_ID,MODULE_ID,−
218,GPIO12,GPIO12,GP88_PWM1
219,SDMMC_DAT0 (PCIE2_RST),PCIE2_RST,GP188_PCIE7_RST_N
220,I2S1_DOUT,I2S1_SDOUT,GP207_DAP4_DOUT
221,SDMMC_DAT1 (PCIE2_CLKREQ),PCIE2_CLKREQ,GP187_PCIE7_CLKREQ_N
222,I2S1_DIN,I2S1_SDIN,GP208_DAP4_DIN
223,SDMMC_DAT2 (PCIE3_RST),PCIE3_RST,GP192_PCIE9_RST_N
224,I2S1_FS,I2S1_LRCK,GP209_DAP4_FS
225,SDMMC_DAT3 (PCIE3_CLKREQ),PCIE3_CLKREQ,GP191_PCIE9_CLKREQ_N
226,I2S1_SCLK,I2S1_SCLK,GP206_DAP4_CLK
227,SDMMC_CMD (PCIE3_CLK_N),PCIE3_CLK_N,SF_PCIE9_CLK_N
228,GPIO13 (PWM),GPIO13,GP115
229,SDMMC_CLK (PCIE3_CLK_P),PCIE3_CLK_P,SF_PCIE9_CLK_P
230,GPIO14 (PWM),FAN_PWM,GP31_PWM3
231,GND,GND,−
232,I2C2_SCL,I2C2_SCL,GP126_I2C1_CLK
233,SHUTDOWN_REQ*,SHUTDOWN_REQ*,−
234,I2C2_SDA,I2C2_SDA,GP127_I2C1_DAT
235,PMIC_BBAT,BBAT,(PMIC BBATT)
236,UART2_TXD (DEBUG),UART2_TXD,GP11_UART3_TXD
237,POWER_EN,POWER_EN,(PMIC EN0)
238,UART2_RXD (DEBUG),UART2_RXD,GP12_UART3_RXD
239,SYS_RESET*,SYS_RST*,(PMIC output) SF_RST_N (via AND gate)
240,SLEEP/WAKE*,PWR_BTN*,GP04
241,GND,GND,−
242,GND,GND,−
243,GND,GND,−
244,GND,GND,−
245,GND,GND,−
246,GND,GND,−
247,GND,GND,−
248,GND,GND,−
249,GND,GND,−
250,GND,GND,−
251,VDD_IN,VDD_CVM,−
252,VDD_IN,VDD_CVM,−
253,VDD_IN,VDD_CVM,−
254,VDD_IN,VDD_CVM,−
255,VDD_IN,VDD_CVM,−
256,VDD_IN,VDD_CVM,−
257,VDD_IN,VDD_CVM,−
258,VDD_IN,VDD_CVM,−
259,VDD_IN,VDD_CVM,−
